,titles,price,city,information
0,Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1...,PKR 32.5 lacs,Islamabad,"2015 44,000 km Petrol 1800 cc Automatic"
1,Honda Civic 2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 42.5 lacs,Islamabad,"2020 24,000 km Petrol 1800 cc Automatic"
2,Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 39.75 lacs,Islamabad,"2018 7,000 km Petrol 1800 cc Automatic"
3,Karachi,"PKR 2,975,000",Toyota Vitz 2018,"PKR 2,675,000"
4,Lahore,"PKR 2,675,000",Mitsubishi Pajero 2004,"PKR 4,200,000"
5,Lahore,"PKR 4,200,000", 9,FEATURED 
6,Honda Civic 2012 VTi Oriel Prosmatec 1.8 i-VT...,PKR 19.75 lacs,Karachi,"2012 85,000 km Petrol 1800 cc Automatic"
7,Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 37 lacs,Karachi,"2017 6,300 km Petrol 1800 cc Automatic"
8,Honda Civic 2021 1.5 VTEC Turbo Oriel for Sale,PKR 45.95 lacs,Lahore,"2021 5,000 km Petrol 1500 cc Automatic"
9,Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 38.25 lacs,Lahore,"2018 31,950 km Petrol 1800 cc Automatic"
10,Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1...,PKR 32 lacs,Peshawar,"2015 111,345 km Petrol 1800 cc Automatic"
11,Honda Civic Reborn 2011 VTi Oriel 1.8 i-VTEC f...,PKR 18.7 lacs,Lahore,"2011 150,000 km Petrol 1800 cc Manual"
12,Honda Civic 2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 38.35 lacs,Karachi,"2019 14,000 km Petrol 1800 cc Automatic"
13,Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 37.25 lacs,Multan,"2018 24,800 km Petrol 1800 cc Automatic"
14,Honda Civic Rebirth 2015 Oriel Prosmatec UG fo...,PKR 27.9 lacs,Karachi,"2015 99,000 km Petrol 1800 cc Automatic"
