,Engine,CC,Transmission,mileage,year,prices,mapCity
0,5,1800,0,44000,2015,32.5,0
1,5,1800,0,24000,2020,42.5,0
2,5,1800,0,7000,2018,39.75,0
3,5,1800,0,85000,2012,19.75,1
4,5,1800,0,6300,2017,37.0,1
5,5,1500,0,5000,2021,45.95,2
6,5,1800,0,31950,2018,38.25,2
7,5,1800,0,111345,2015,32.0,3
8,5,1800,1,150000,2011,18.7,2
9,5,1800,0,14000,2019,38.35,1
10,5,1800,0,24800,2018,37.25,4
11,5,1800,0,99000,2015,27.9,1
12,5,1600,0,196000,2006,13.95,2
13,5,1800,0,61000,2016,31.0,5
14,5,1800,0,105000,2007,16.5,1
15,5,1800,0,120000,2015,27.0,6
16,5,1800,0,114000,2010,20.5,2
17,5,1500,0,130000,2004,10.9,1
18,5,1800,0,148000,2013,24.6,2
19,5,1800,0,66000,2017,34.75,0
20,5,1800,0,55000,2019,39.9,7
21,5,1800,0,49200,2019,35.5,2
22,5,1800,0,45000,2018,36.5,1
23,5,1800,0,110000,2009,18.5,8
24,5,1800,0,1260,2008,17.5,2
25,5,1800,0,12,2011,22.45,2
26,5,1600,0,225000,2005,13.0,3
27,5,1800,0,72000,2014,26.5,2
28,5,1500,1,100000,1995,6.0,1
29,5,1800,0,22500,2019,42.25,2
30,5,1600,0,197000,2004,13.9,3
31,5,1800,0,33000,2018,35.9,1
32,0,1200,1,100000,1984,1.8,1
33,5,1500,1,49000,2003,7.0,1
34,5,1800,0,225000,2006,16.95,2
35,5,1800,0,95000,2018,35.5,2
36,5,1600,1,250000,2005,12.85,0
37,5,1800,0,22000,2020,43.25,0
38,5,1500,0,48000,2017,35.0,2
39,5,1800,0,2300,2020,43.1,2
40,5,1800,0,1,2021,43.45,0
41,5,1800,0,80000,2014,27.35,2
42,5,1800,0,92000,2012,17.9,1
43,5,1800,0,8700,2020,41.95,5
44,5,1800,0,20000,2019,41.0,9
45,5,1800,0,100000,2009,16.5,9
46,5,1600,1,250000,2005,12.85,0
47,5,1800,0,30260,2015,30.75,2
48,5,1800,0,180000,2010,14.75,2
